item_name,item_category,cart_after_view_sessions,purchase_after_cart_sessions,cart_without_purchase_sessions,cart_to_purchase_rate_pct,cart_abandonment_rate_pct
Google Youth FC Tee Charcoal,Home/Apparel/Kids/,771,10,761,1.3,98.7
Android Pocket Onesie Navy,Home/Apparel/Kids/,770,21,749,2.73,97.27
YouTube Iconic Play Pin,Home/Shop by Brand/YouTube/,766,19,747,2.48,97.52
Google Confetti Slim Task Pad,Home/Stationery/Notebooks/,752,9,743,1.2,98.8
#IamRemarkable Unisex T-Shirt,Home/Apparel/Men's / Unisex/,756,23,733,3.04,96.96
Google Black Tee,Sale,731,0,731,0.0,100.0
Mural Food Container,Home/Eco-Friendly/,733,4,729,0.55,99.45
Google Cloud Pen,Home/New/,756,34,722,4.5,95.5
Google Toddler FC Tee Charcoal,Home/Apparel/,744,27,717,3.63,96.37
Google Camp Mug Gray,,760,53,707,6.97,93.03
Google NYC Campus Bottle,Home/Campus Collection/,724,18,706,2.49,97.51
Google Youth FC Longsleeve Charcoal,Home/Apparel/,713,11,702,1.54,98.46
Android Jotter Task Pad,Home/Stationery/Notebooks/,704,7,697,0.99,99.01
Google Cambridge Campus Zip Hoodie,Home/Sale/,697,9,688,1.29,98.71
Google NYC Campus Mug,Home/Campus Collection/,706,60,646,8.5,91.5
Snowflake Android Cardboard Sculpture,Lifestyle/Small Goods/,646,7,639,1.08,98.92
Google Unisex Pride Eco-Tee Black,Men's / Unisex,637,0,637,0.0,100.0
Google Cambridge Campus Bottle,Home/Campus Collection/,637,4,633,0.63,99.37
Google NYC Campus Lapel Pin,Home/Campus Collection/,642,17,625,2.65,97.35
Google Cambridge Campus Unisex Tee,Home/Campus Collection/,628,5,623,0.8,99.2
Google Cambridge Campus Ladies Tee,Home/Campus Collection/,626,4,622,0.64,99.36
Google Cambridge Campus Mug,Home/Campus Collection/,653,34,619,5.21,94.79
Google Cambridge Campus Tote,Home/Campus Collection/,623,4,619,0.64,99.36
Google Women's Eco Tee Black,Home/Apparel/,617,0,617,0.0,100.0
#IamRemarkable Journal,Home/Stationery/Notebooks/,628,22,606,3.5,96.5
Google Aluminum Bottle Red,Home/New/,617,18,599,2.92,97.08
Google Thermal Tumbler Navy,Lifestyle/Drinkware/,615,29,586,4.72,95.28
